town,total_population,median_household_income,per_capita_income,median_age,median_home_value,pct_owner_occupied,pct_in_labor_force,pct_unemployed,pct_white,pct_poverty,pct_bachelors_plus,margin,winner
Dixfield,2300,70613,32298.0,49.9,160900,85.54603854389723,56.54885654885655,3.952205882352941,97.04347826086956,14.018284719198956,25.56053811659193,34.155744024672316,1
Dixmont,1207,75952,42993.0,50.9,190700,89.70037453183521,63.907603464870064,3.1626506024096384,95.11184755592377,7.8707539353769675,24.708377518557796,28.108108108108105,1
Dover-Foxcroft,4506,63344,40195.0,38.0,162600,67.0,56.157229246838924,2.692119432207538,92.14380825565912,15.120113047574188,28.17816269718528,23.070434415858294,1
Dresden,1645,74844,39719.0,55.1,240100,88.24306472919419,62.347012239020884,1.1547344110854503,94.65045592705167,9.332509270704573,30.519480519480517,7.256046705587991,1
Durham,4262,99181,46553.0,42.6,322200,95.44091181763648,70.84282460136674,6.511254019292605,94.41576724542469,4.1529798216799625,34.76340694006309,-1.0416666666666643,0
Dyer Brook,275,73409,31301.0,38.7,135000,93.10344827586206,61.79245283018868,0.0,90.9090909090909,6.909090909090909,34.463276836158194,55.102040816326536,1
Eagle Lake,570,60208,33175.0,60.8,221200,80.57851239669421,35.0597609561753,0.0,98.42105263157895,11.394891944990176,26.93877551020408,19.91525423728813,1
East Machias,1223,57589,32497.0,42.8,210800,83.68121442125236,60.06160164271047,6.666666666666667,93.62224039247752,15.909090909090908,33.85167464114833,34.131736526946106,1
East Millinocket,1495,42011,28511.0,45.9,86200,79.33634992458522,42.10526315789473,6.343283582089552,98.66220735785953,21.672240802675585,20.90497737556561,23.77777777777778,1
Eastbrook,742,69018,33413.0,52.4,300700,86.62613981762918,59.09090909090909,6.10079575596817,97.03504043126685,21.159029649595688,15.0,29.08366533864541,1
Easton,1433,53309,31010.0,52.6,163800,85.8195211786372,51.24037639007699,5.676126878130217,96.92951849267271,15.073272854152128,18.926553672316384,36.49425287356322,1
Eastport,1263,45573,34957.0,61.4,179800,64.93506493506493,43.18181818181818,2.736842105263158,91.92399049881234,15.235008103727715,36.213592233009706,-18.757763975155278,0
Eddington,2223,75350,43862.0,54.9,268000,80.62563067608475,52.34173957797221,2.6548672566371683,93.74718848403059,6.678700361010831,30.781938325991188,28.76712328767124,1
Edgecomb,1251,108750,48713.0,41.0,348400,90.72356215213358,68.5981308411215,3.1335149863760217,96.56274980015988,5.595523581135091,39.78142076502732,-22.041763341067295,0
